epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1400.27,0.23457,1.80154,0.97063,0.52512,0.52855,0.42284,0.38102,0.48062,2.27369,0.87374,0.000474968,0.000474968,0.000474968
2,2773.3,0.18703,1.24454,0.91845,0.18929,0.57488,0.30328,0.30084,0.32998,1.50798,0.65904,0.000932466,0.000932466,0.000932466
3,4231.85,0.18152,1.17112,0.9184,0.47724,0.66097,0.31353,0.29869,0.26713,1.4972,0.62519,0.0013711,0.0013711,0.0013711
4,1356.96,0.16244,1.10896,0.90751,0.51706,0.69272,0.43012,0.40262,0.35727,1.43823,0.69784,0.00134412,0.00134412,0.00134412
5,1344.39,0.14112,1.06116,0.89355,0.18402,0.59023,0.37111,0.35781,0.23669,1.49343,0.5856,0.00131582,0.00131582,0.00131582
6,2633.11,0.13035,1.02932,0.88999,0.23871,0.49181,0.32082,0.29898,0.28921,1.38055,0.63842,0.00128753,0.00128753,0.00128753
7,3921.62,0.1161,1.01581,0.88809,0.24866,0.75951,0.35991,0.35663,0.24176,1.34226,0.61144,0.00125923,0.00125923,0.00125923
8,5209.35,0.11124,0.98341,0.8834,0.30941,0.77165,0.41601,0.40458,0.22911,1.02206,0.59531,0.00123094,0.00123094,0.00123094
9,6497.96,0.10405,0.97683,0.88006,0.64259,0.4842,0.42027,0.40813,0.24135,1.08651,0.60362,0.00120265,0.00120265,0.00120265
10,7792.3,0.0985,0.95838,0.87943,0.28982,0.69559,0.44584,0.44334,0.19089,1.0966,0.58504,0.00117435,0.00117435,0.00117435
11,9092.72,0.10233,0.95562,0.87848,0.3151,0.68863,0.50319,0.49843,0.17352,0.94206,0.54233,0.00114606,0.00114606,0.00114606
12,10395,0.09213,0.93402,0.87679,0.28129,0.72403,0.47869,0.45867,0.22218,0.98482,0.58869,0.00111776,0.00111776,0.00111776
13,11703,0.08969,0.91563,0.87441,0.29294,0.72508,0.47673,0.4703,0.19334,1.22898,0.59574,0.00108947,0.00108947,0.00108947
14,13000.1,0.08875,0.90855,0.87843,0.7287,0.44305,0.49868,0.49326,0.22322,1.22985,0.59148,0.00106118,0.00106118,0.00106118
15,14291,0.07966,0.88813,0.8735,0.32585,0.73765,0.50121,0.50034,0.21536,0.86913,0.57277,0.00103288,0.00103288,0.00103288
16,15594.5,0.08203,0.87857,0.87634,0.32707,0.81632,0.49627,0.48748,0.20808,0.87322,0.59769,0.00100459,0.00100459,0.00100459
17,16895.5,0.0764,0.87661,0.87378,0.31006,0.7182,0.50685,0.44175,0.3756,1.10617,0.64274,0.000976293,0.000976293,0.000976293
18,18200.1,0.07518,0.8433,0.87311,0.38428,0.87292,0.58014,0.56082,0.17227,0.81079,0.56261,0.000947999,0.000947999,0.000947999
19,19512.7,0.07625,0.84258,0.87394,0.33801,0.85467,0.57332,0.55501,0.22524,0.85139,0.58583,0.000919704,0.000919704,0.000919704
20,20815.8,0.07347,0.84136,0.87492,0.35866,0.81605,0.59056,0.5899,0.16834,0.88179,0.53139,0.00089141,0.00089141,0.00089141
21,22106.7,0.06979,0.82502,0.87221,0.36603,0.77482,0.5606,0.5527,0.1679,1.13295,0.54338,0.000863116,0.000863116,0.000863116
22,23394,0.06695,0.82882,0.86698,0.40392,0.75922,0.61602,0.61213,0.15395,0.7847,0.5209,0.000834822,0.000834822,0.000834822
23,24682.9,0.06494,0.80228,0.87016,0.38489,0.79924,0.60397,0.60242,0.14565,0.79722,0.51244,0.000806528,0.000806528,0.000806528
24,25973.8,0.06423,0.80148,0.86733,0.46972,0.66725,0.58826,0.58077,0.16892,0.86089,0.52049,0.000778233,0.000778233,0.000778233
25,27263.1,0.06002,0.79578,0.86914,0.45382,0.7185,0.6265,0.62284,0.14048,0.75858,0.51119,0.000749939,0.000749939,0.000749939
26,28552.6,0.06133,0.79267,0.86687,0.52587,0.7966,0.68918,0.68553,0.17865,0.72745,0.54767,0.000721645,0.000721645,0.000721645
27,29842.7,0.06082,0.77428,0.86807,0.48144,0.79792,0.66213,0.66025,0.14959,0.74029,0.51167,0.000693351,0.000693351,0.000693351
28,31133.3,0.05617,0.74065,0.86357,0.53924,0.724,0.66122,0.65903,0.14409,0.70448,0.51517,0.000665057,0.000665057,0.000665057
29,32424,0.05528,0.7344,0.86758,0.63922,0.67768,0.71484,0.71426,0.15217,0.79683,0.50968,0.000636762,0.000636762,0.000636762
30,33713.5,0.0558,0.74364,0.86952,0.59135,0.7761,0.72378,0.71744,0.15062,0.7733,0.50116,0.000608468,0.000608468,0.000608468
31,34995.7,0.05376,0.72228,0.86563,0.66922,0.75335,0.75159,0.74339,0.14922,0.71551,0.5106,0.000580174,0.000580174,0.000580174
